@relation stock
@attribute open real
@attribute high real
@attribute low real
@attribute close real
@data
1.7,1.7,1.7,1.7
109.66,109.66,109.66,109.66
22.63,22.63,22.63,22.63
2.1,2.1,2.1,2.1
25.09,25.09,25.09,25.09
7.67,7.67,7.67,7.67
41.89,41.89,41.89,41.89
10.02,10.02,10.02,10.02
10.2999,10.2999,10.2999,10.2999
0.8,0.8,0.8,0.8
60.905,60.905,60.905,60.905
17.33,17.33,17.33,17.33
56.14,56.14,56.14,56.14
82.41,82.41,82.41,82.41
87.36,87.36,87.36,87.36
5.44,5.44,5.44,5.44
49.87,49.87,49.87,49.87
6.15,6.15,6.15,6.15
49.48,49.48,49.48,49.48
47.03,47.03,47.03,47.03
8.33,8.33,8.33,8.33
47.96,47.96,47.96,47.96
39.59,39.59,39.59,39.59
24.98,24.98,24.98,24.98
598.3,598.3,598.3,598.3
51.78,51.78,51.78,51.78
48.59,48.59,48.59,48.59
22.1,22.1,22.1,22.1
27.34,27.34,27.34,27.34
58.55,58.55,58.55,58.55
13.05,13.05,13.05,13.05
13.6,13.6,13.6,13.6
20200101,8,8,8,8
25.695,25.695,25.695,25.695
15.07,15.07,15.07,15.07
34.37,34.37,34.37,34.37
16.65,16.65,16.65,16.65
20.81,20.81,20.81,20.81
26.1204,26.1204,26.1204,26.1204
20200101,77,77,77,77
72.36,72.36,72.36,72.36
10.85,10.85,10.85,10.85
20200101,12,12,12,12
2.2,2.2,2.2,2.2
269.08,269.08,269.08,269.08
46.64,46.64,46.64,46.64
5.18,5.18,5.18,5.18
1.42,1.42,1.42,1.42
0.8426,0.8426,0.8426,0.8426
1.58,1.58,1.58,1.58
8.31,8.31,8.31,8.31
2.17,2.17,2.17,2.17
20.63,20.63,20.63,20.63
1.85,1.85,1.85,1.85
23.12,23.12,23.12,23.12
62.02,62.02,62.02,62.02
3.85,3.85,3.85,3.85
1.02,1.02,1.02,1.02
0.2,0.2,0.2,0.2
110.9,110.9,110.9,110.9
6.62,6.62,6.62,6.62
15.875,15.875,15.875,15.875
1.1,1.1,1.1,1.1
35.81,35.81,35.81,35.81
21.58,21.58,21.58,21.58
195.38,195.38,195.38,195.38
21.67,21.67,21.67,21.67
13.2,13.2,13.2,13.2
6.35,6.35,6.35,6.35
90.59,90.59,90.59,90.59
44.64,44.64,44.64,44.64
23.03,23.03,23.03,23.03
12.925,12.925,12.925,12.925
3.22,3.22,3.22,3.22
